Training_epochs,q_max
0,0.0
1600000,0.675
3200000,1.075
4800000,1.229
6400000,1.436
8000000,1.657
9600000,1.802
11200000,1.832
12800000,1.794
14400000,1.82
16000000,1.79
17600000,1.764
19200000,1.785
20800000,1.826
22400000,1.775
24000000,1.785
25600000,1.785
27200000,1.848
28800000,1.905
30400000,1.921
32000000,1.957
33600000,1.979
35200000,1.957
36800000,2.02
38400000,2.006
40000000,2.04
41600000,2.082
43200000,2.074
44800000,2.069
46400000,2.06
48000000,2.095
49600000,2.066
51200000,1.936
52800000,1.932
54400000,1.943
56000000,1.989
57600000,1.912
59200000,2.014
60800000,2.089
62400000,2.054
64000000,2.094
65600000,2.222
67200000,2.196
68800000,2.175
70400000,2.239
72000000,2.331
73600000,2.303
75200000,2.269
76800000,2.286
78400000,2.305
80000000,2.359
81600000,2.351
83200000,2.431
84800000,2.472
86400000,2.523
88000000,2.572
89600000,2.57
91200000,2.578
92800000,2.612
94400000,2.627
96000000,2.648
