Training_epochs,average_reward
1600000,0.132
3200000,1.753
4800000,1.679
6400000,0.739
8000000,2.862
9600000,1.368
11200000,1.851
12800000,3.54
14400000,2.744
16000000,4.49
17600000,6.26
19200000,8.912
20800000,10.641
22400000,10.957
24000000,11.749
25600000,15.446
27200000,17.873
28800000,18.163
30400000,19.333
32000000,20.386
33600000,24.49
35200000,28.441
36800000,30.273
38400000,35.27
40000000,40.864
41600000,41.599
43200000,43.358
44800000,45.711
46400000,47.64
48000000,50.58
49600000,51.791
51200000,53.934
52800000,55.16
54400000,58.344
56000000,60.829
57600000,63.001
59200000,67.808
60800000,70.488
62400000,67.777
64000000,65.836
65600000,72.734
67200000,77.731
68800000,85.769
70400000,84.528
72000000,83.623
73600000,86.305
75200000,88.72
76800000,90.285
78400000,95.51
80000000,100.159
81600000,110.636
83200000,115.907
84800000,123.857
86400000,122.451
88000000,121.97
89600000,126.924
91200000,136.876
92800000,146.568
94400000,148.694
96000000,155.191
